"","score","text","class"
"2207",5,"selamat hari raya idul fitri teman online ku semua mohon maaf lahir batin taqobbalallahu minna wa minkum ","Positive"
"2208",5,"rt menteri bumn erick thohir ucap selamat hari raya idul fitri h mohon maaf lahir dan bathin erickthohirsolusira","Positive"
"2209",5," selamat hari raya idul fitri h mohon maaf lahir batin kampus ippak sanata dharma ","Positive"
"2210",0,"rt ikut potret saat anies baswedan dan warga datang ke jakarta international stadium jis untuk laksana salat idul","Neutral"
"2211",0,"kapolri jenderal polisi drs listyo sigit prabowo terus pantau arus mudik dekat lebaran idul fitri h di abuh rak banten sabtu tetapprokessaatlebaranbersama laksana sama ","Neutral"
"2212",5,"rt minal aidin wal faizin selamat hari raya idul fitri para mutual mohon maaf lahir dan batin mumpung suasana lebaran","Positive"
"2213",0,"rt kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momen","Neutral"
"2214",0,"yuk raya hari raya idul fitri dengan tetap laksana sama utama maka masker untuk jaga diri dari sebar covid tetapprokessaatlebaranbersama laksana sama ","Neutral"
"2215",4,"jelang hari raya idul fitri kadivpas monitoring aman lapas cilegon ","Positive"
"2216",5," selamat idul fitri mohon maaf lahir batin ","Positive"
"2217",3,"personil sat lantas polres luwu timur laksana aman arus lalu lintas dalam rangka laksana sholat idul fitri h giat sebut pimpin oleh kasat lantas iptu siswaji si sos ","Positive"
"2218",0,"bismillah idul fitri tahun depan sudah bawa mantu buat keluarga ","Neutral"
"2219",7,"rt halo rakyat indonesia sahabat ukraina atas nama keluarga besar ucap selamat hari raya idul f","Positive"
"2220",5," selamat hari raya idul fitri juga miti mohon maaf lahir dan batinmaaf kalau jarang mampir btw thr dong hehe ","Positive"
"2221",0," yuk raya hari raya idul fitri dengan tetap laksana sama utama maka masker untuk jaga diri dari sebar covid tetapprokessaatlebaranbersama laksana sama","Neutral"
"2222",0,"rt kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal fa","Neutral"
"2223",4," ini shalat idul fitri atau resmi stadiun ","Positive"
"2224",5,"rt mohon maaf lahir batin semua selamat raya idul fitri","Positive"
"2225",5,"selamat idul fitri bagi yang raya mohon maaf lahir dan batin","Positive"
"2226",5," selamat hari raya idul fitri syawal h mohon maaf lahir bathin ","Positive"
"2227",5," selamat hari raya idul fitri ayuchan btw masak opor ayam enggak ","Positive"
"2228",4,"selamat hari raya idul fitri h taqabballahu minna wa minkum shiyamana wa shiyamakumkami segenap tim lapor ucap mohon maaf lahir batin moga dengan kembali kita di hari yang fitri ini selalu iring dengan berkah sama keluarga happyeidmubarak ","Positive"
"2229",9,"kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momentum kuat tali saudara dan satu demi wujud indonesia yang tangguh dan tumbuh tetapprokessaatlebaranbersama laksana sama ","Positive"
"2230",6,"bulan suci ramadan telah lalu mari kita lupa segala bentuk salah di masa lalu dengan saling maaf untuk itu kami segenap keluarga besar lembaga pers manunggal dengan penuh hati ucap selamat raya hari raya idul fitri hijriah ","Positive"
"2231",0,"matahari pagi idul fitri memang agak beda ya vibesnya","Neutral"
"2232",5,"rt hari menang telah tibamarhaban ya ramadhanselamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
"2233",7,"lebaran sekarang sedih kali badan enggak sehat di rantau orang lagi mau coba hubung keluarga enggak di angkat dan orang dekat pada sibuk semua kayak ini yang nama sepi yaaahselamat hari raya idul fitri semua dan mohon maaf lahir batin","Positive"
"2234",5," selamat idul fitri minal aidzin wal faidzin mohon maaf lahir dan batin","Positive"
"2235",5,"selamat idul fitri syawal h mohon maaf atas segala salah dan khilaf moga kita masih temu dengan bulan ramadhan ikut amin ya rabbal aalamiinsalam hormat dari kami ken arif ada ng keluarga lebaran eidmubarak ","Positive"
"2236",17,"rt hari yang spesial saat ekspres cinta kepada orang sayang selamat hari raya idul fitri h mohon","Positive"
"2237",1,"taqabbalallahu minna wa minkum shiyamana wa shiyamakum kulla amin wa antum bikhoirselamat hari raya idul fitri syawal h mohon maaf lahir dan batin idulfitri h eidmubarak ","Positive"
"2238",1,"kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kadiv humas polriirjen pol prof dari dedi prasetyo sama hum sama sama tetapprokessaatlebaranbersama laksana sama ","Positive"
"2239",9,"kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momentum kuat tali saudara dan satu demi wujud indonesia yang tangguh dan tumbuh tetapprokessaatlebaranbersama laksana sama ","Positive"
"2240",0,"rt kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi mome","Neutral"
"2241",0,"momen pak bagi di mesjid at thohir setelah selesai shalat idul fitri mei erickthohirsolusirakyat ","Neutral"
"2242",5,"rt selamat hari raya idul fitri syawal h mohon maaf lahir dan batin ","Positive"
"2243",1,"rt maaf maaf itu tiap saat panjang waktu di dunia sampai akhirat tiap hari adalahidul fitribagi kita tidak","Positive"
"2244",3,"rt selamat hari raya idul fitri semua aku mau bagi bagi thr yang enggak berapa ini mohon maaf cuma bisa kasih ini give away","Positive"
"2245",5,"selamat hari raya idul fitri teman teman dari kami noon reider mohon maaf lahir dan batin ","Positive"
"2246",0,"rt kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal fa","Neutral"
"2247",-6,"rt tuah sakti hamba negeriesa hilang dua terbilangpatah tumbuh hilang bergantitakkan layu hilang di bumi pawai takbi","Negative"
"2248",5,"penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut tentu dalam edar penyelenggaran ibdah idul fitri tahun h sama surat edar nomor se tahun tetapprokessaatlebaranbersama laksana sama ","Positive"
"2249",5,"selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon maaf lahir bathin ","Positive"
"2250",1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
"2251",4," selamat hari raya idul fitri kak wid ","Positive"
"2252",8,"pada hari senin tanggal mei pukul wib si ada selesai sertu joko sama babinsa keluarga plumbungan koramil kirim laksana aman laksana sholat idul fitri h di lapang kp teguh lurah plumbungan camat karangmalang ","Positive"
"2253",8,"selamat hari raya idul fitri moga thr ku tahun ini tara dengan harta tuan muda zhong chenle wkwkw ","Positive"
"2254",4,"selamat hari raya idul fitri ","Positive"
"2255",5,"selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
"2256",7," hai kak rizki maaf untuk alam ya agar bisa kami bantu cek yuk infoin nomor via dm selamat kumpul sama keluarga di hari idul fitri ini tetap jaga silaturahmi dan moga sehat selalu ","Positive"
"2257",0,"ribu warga salat idul fitri di masjid al muhajirin tolisubanggai ","Neutral"
"2258",12," hari yang penuh makna bahagia ini tanda hari menang telah tiba maka sama family saya ucap mohon maaf lahir batin setulusnyaselamat hari raya idul fitri hminal aidin wal fa idzin bagi keluarga sahabat teman rekan yang raya obin tarigan family","Positive"
"2259",4,"rt eid mubarak selamat hari raya idul fitri semua nya ","Positive"
"2260",5,"assalamu alaikum ya akh ya ukhti selamat idul fitri htaqabbalallahu minna wa minkum taqabbal ya kariim mohon maaf lahir batin ","Positive"
"2261",5,"rt hari menang telah tibamarhaban ya ramadhanselamat hari raya idul fitri h mohon maaf lahir dan bathin all","Positive"
"2262",4,"selamat idul fitri kawan maaf lahir batin ","Positive"
"2263",0,"rt mini give awaykarena besok syawal yang arti hari raya idul fitri dan tepat dengan ultah aku mau ngada","Neutral"
"2264",5," selamat hari raya idul fitri juga kak epel mohon maaf lahir dan batin","Positive"
"2265",12," selamat hari raya idul fitri h lebaran tahun ini kita wajib patuh protokol sehat dengan laksana sama dan tetap waspada karena covid belum penuh hilang tetapprokessaatlebaranbersama laksana sama","Positive"
"2266",5,"selamat hari raya idul fitri bestie mohon maaf lahir dan batin ya ","Positive"
"2267",5,"selamat hari raya idul fitri mohon maaf lahir batin ","Positive"
"2268",5,"open house virtual idul fitri mohon maaf lahir dan batin dapat salam dari gubernur ganteng gaes ","Positive"
"2269",4,"yasonna laoly harap momen idul fitri dapat tumbuh semangat untuk bagi kepada sama nasional","Positive"
"2270",0,"hari raya idul fitri","Neutral"
"2271",0,"kapan lagi bisa raya macet karena hari raya idul fitri","Neutral"
"2272",-4," hari ini idul fitri minta maaf ttpi deh punya rencana buat dosa lagi ","Negative"
"2273",0,"gue kira dikirimin bukti tf malah ucap idul fitri enggak apa-apa demi alex","Neutral"
"2274",0,"pam dan atur sholat hari raya idul fitri ","Neutral"
"2275",4,"rt selamat hari raya idul","Positive"
"2276",4," selamat idul fitri teman madani maaf lahir dan batin ","Positive"
"2277",5,"selamat raya hari raya idul fitri untuk saudara saudara sini yang raya mohon maaf lahir dan batin","Positive"
"2278",4,"rt bangtan ucap selamat hari raya idul fitri hmohon maaf lahir dan batin idulfitri h idulfitri idulfitri ","Positive"
"2279",1," kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama","Positive"
"2280",1,"jamaah masjid al ihlas laksana sholat idul fitri mohon maaf lahir danbhatin ","Positive"
"2281",0,"yuk raya hari raya idul fitri dengan tetap laksana sama utama maka masker untuk jaga diri dari sebar covid tetapprokessaatlebaranbersama laksana sama ","Neutral"
"2282",5,"segenap direksi dan karyawan rs islam bontang ucap selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
"2283",4,"selamat hari raya idul fitri teman","Positive"
"2284",3,"rt minal aidin walfa izinmohon maaf lahir dan batinerick thohir dan keluarga besar mengucapkanselamat hari raya idul fitri ","Positive"
"2285",4," selamat hari raya idul fitri juga sama wayahe buru kueee","Positive"
"2286",-1,"kakanwil kemenkumham jateng a yuspahruddinnapi lapas bulu raya idul fitri bareng keluarga lewat video call kumhampasti bhpsemarang ayuspahruddin kemenkumhamjateng idulfitri h twitter videocall","Negative"
"2287",0,"pam dan atur sholat hari raya idul fitri ","Neutral"
"2288",4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
"2289",0,"rt kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzi","Neutral"
"2290",5,"selamat hari raya idul fitri h untuk saudara sahabat rekan rekan semua mohon maaf lahir dan bathin ","Positive"
"2291",17,"selamat raya hari raya idul fitri h selamat raya hari yang fitri allah limpah damai sejahtera dan beri sehat limpah dan bahagia tanpa batas allah berkah ","Positive"
"2292",0,"kapolri jenderal polisi drs listyo sigit prabowo terus pantau arus mudik dekat lebaran idul fitri h di abuh rak banten sabtu tetapprokessaatlebaranbersama laksana sama ","Neutral"
"2293",4,"jalan jalan ke bukitinggi singgah jenak nikmat teh talua selamat hari raya idul fitri di mana kalian ada ","Positive"
"2294",5,"rt dengan segala rendah hati kami keluarga besar bkipm ucap selamat hari raya idul fitri syawal hijriah t","Positive"
"2295",3,"tak rasa satu bulan ramadhan lewat tahun kita diam diri di rumah tanpa unjung keluarga di momen hari raya idul fitri ini tapi tahun ini rasa beda semua kumpul semua bertemu acara mahasiswa ucap selamat hari raya idul f ","Positive"
"2296",4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
"2297",12,"selamat hari raya idul fitri h lebaran tahun ini kita wajib patuh protokol sehat dengan laksana sama dan tetap waspada karena covid belum penuh hilang tetapprokessaatlebaranbersama laksana sama ","Positive"
"2298",6," selamat hari raya idul fitri syawal h moga amal ibadah kita terima allah swt mohon maaf atas segala khilaf dan salah moga kita temu lagi dengan ramadhan tahun depan amin ya rabbal alamiin bakhtiar","Positive"
"2299",1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
"2300",13,"lebaran penuh berkah sholat idul fitri sudah bisa laku di masjid dan lapang tetapi tetap wajib hati protokol sehat covid dengan ketat serta indah tentu yang berlaku selalu laksana sama tetapprokessaatlebaranbersama laksana sama ","Positive"
"2301",0,"ini hari raya idul fitri apa hari insekyur umat muslim sih","Neutral"
"2302",5,"selamat idul fitri mohon maaf lahir dan batin ","Positive"
"2303",13,"kami dari keluarga besar arp ucap selamat hari raya idul fitri hminal aidin walfaizin mohon maaf lahir dan batinsemoga allah terima amal ibadah kita semua eidulfitr eidmubarak nft ","Positive"
"2304",4," selamat hari raya idul fitri","Positive"
"2305",8,"keluarga besar lapas kelas iia purwokerto mengucapkanselamat hari raya idul fitri hijriahsemoga amal ibadah kita terima allah swt aamiinn ","Positive"
"2306",5,"kami segenap keluarga pindang dan kue ucap selamat hari raya idul fitri minal aidzin wal faidzin mohon maaf lahir dan batin ","Positive"
"2307",5,"rt selamat hari raya idul fitri mohon maaf lahir dan batin semua ","Positive"
"2308",4,"rt selamat hari raya idul fitri h sama maaf zahir batin ","Positive"
"2309",0,"alhamdulillah baru selesai shalat idul fitri ","Neutral"
"2310",1,"selamat hari raya idul fitri mohon maaf jika ada salah kata salah bicara dan salah taruh rasa ","Positive"
"2311",1," hari raya idul fitri hijriah mohon maaf lahir dan batin jangan lupa prokes tetapprokessaatlebaran sama laksana sama","Positive"
"2312",0,"lebaran idul fitri makin umur nangisnya makin kencang pas maaf an","Neutral"
"2313",4," selamat hari raya idul fitri h lebaran laksana sama tetap guna masker saat laksana sholat ied tetapprokessaatlebaranbersama laksana sama","Positive"
"2314",5," maiii pretty selamat hari raya idul fitri mohon maaf lahir batin","Positive"
"2315",0,"rt selamat hari raya idul fitri sobat soto mana anda ada kira soto mana saja nih yang sudah buka ","Neutral"
"2316",5,"selamat hari raya idul fitri dari aku untuk teman yang raya mohon maaf lahir dan batin mohon maaf sekal jika aku ada salah dengan teman kreator dan juga teman viewers yang ada di komunitas kita ini baik yang sengaja maupun yang tidak sengaja ","Positive"
"2317",4,"rt selamat hari raya idul fitri hmohon maaf lahir dan batin eidmubarak ","Positive"
"2318",-2," betol idul fitri cuma sampai jam lebih ngantuk pengin tidur ","Negative"
"2319",4," selamat idul fitri kak","Positive"
"2320",0,"di kolam air banyak ikanhasil tangkap dari kalikami keluarga mengucapkanselamat hari raya idul fitri aktivitastanpabatas internetnyaindonesia silaturahmitanpabatas","Neutral"
"2321",4," selamat idul fitri om nya ","Positive"
"2322",12,"selamat hari raya idul fitri h lebaran tahun ini kita wajib patuh protokol sehat dengan laksana sama dan tetap waspada karena covid belum penuh hilang tetapprokessaatlebaranbersama laksana sama ","Positive"
"2323",4,"selamat hari raya idul fitri semua muehehhe","Positive"
"2324",4,"rt selamat hari raya idul fitri ","Positive"
"2325",4,"selamat hari raya idul fitri warga twitter ","Positive"
"2326",5,"rt selamat hari raya idul fitri h mohon maaf lahir dan batin erickthohirsolusirakyat ","Positive"
"2327",5," selamat idul fitri ayach selamat lebaran mohon maaf lahir dan batin ","Positive"
"2328",5,"mercon merry dan duar kun ucap selamat hari raya idul fitri mohon maaf lahir dan batin art by idulfitri h onmercon ","Positive"
"2329",4,"selamat hari raya idul fitri semua","Positive"
"2330",3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
"2331",0,"rt open promoedisi mudik follbacknkri glorynkriizin pulang kampung tradisi lebaran idul fitripromoter","Neutral"
"2332",3,"rt halo joiner jojo cuma mau ucap selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
"2333",5,"selamat hari raya idul fitri mohon maaf apabila ada salah kata yang singgung dan tidak enak","Positive"
"2334",4," selamat raya idul fitri ya ann ","Positive"
"2335",4," selamat hari raya idul fitri","Positive"
"2336",5,"rt untuk seluruh warga twitter baik yang kenal maupun belum kenal saya ucap mohon maaf lahir dan batin utama bi","Positive"
"2337",5,"kami ucap selamat hari raya idul fitri htaqobbalallahu minna wa minkum siyamana wa siyamakum barakallahu fiikum mohon maaf lahir bathin ","Positive"
"2338",5,"rt selamat hari raya idul fitri sahabatbahari taqaballahu mina wa minkum minal aidin wal faidzin mohon maaf lahir dan","Positive"
"2339",9,"kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momentum kuat tali saudara dan satu demi wujud indonesia yang tangguh dan tumbuh tetapprokessaatlebaranbersama laksana sama ","Positive"
"2340",7," assalamu alaikum warahmatullahi wa barakaruh jaalanallahu minal aidzin wal faizin moga allah jadi kita masuk orang yang kembali dan orang yang menang selamat hari raya idul fitri h ","Positive"
"2341",9," selamat hari raya idul fitri kucing cantik","Positive"
"2342",9," mohon maf lahir dan batin juga nca selamat raya suka cita idul fitri ","Positive"
"2343",0,"berkah idul fitri dapat centang biru juga mama ikuy ","Neutral"
"2344",4,"rt selamat hari raya idul fitri teman teman ","Positive"
"2345",0,"yuk raya hari raya idul fitri dengan tetap laksana sama utama maka masker untuk jaga diri dari sebar covid tetapprokessaatlebaranbersama laksana sama ","Neutral"
"2346",4," btw selamat hari raya idul fitri hminal aidzin wal faidzinmohon maaf lahir dan batin","Positive"
"2347",1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
"2348",4," selamat hari raya idul fitri","Positive"
"2349",3,"maaf all belum bisa online penuh lagi happy idul fitri ","Positive"
"2350",1,"rt alhamdulillaah sengaja dari rumah sama keluarga senang banget bisa kembali salat id apalagi sekarang di istiqlal ","Positive"
"2351",12,"rt balai besar kipm makassar ucap selamat idul fitri syawal hsemoga allah swt terima amal ibadah dan taub","Positive"
"2352",0,"rt sunnah sunnah hari raya idul fitria thread","Neutral"
"2353",8,"selamat siang helthies moga hari kalian selalu dalam lindung nya kami keluarga besar puskesmas geyer ucap selamat hari raya idul fitri mohon maaf lahir dan batin ","Positive"
"2354",14,"sahabat sehat direktorat jenderal p p kemenkes r ucap taqabbalallahu minna wa minkum wa taqabbal ya karim selamat idul fitri h minal aidin wal faizin mohon maaf lahir batin moga amal ibadah kita terima oleh allah swt idulfitri h lebaran ","Positive"
"2355",8,"selamat hari raya idul fitri buat sahabat sahabat yang belum dapat thr sabar ya tidak kamu dapat omong pedas dari keluarga","Positive"
"2356",5,"rt pemirsa selamat hari raya idul fitri mohon maaf lahir batin sampai bertemu setelah lebaran di kic ilc lagi sala","Positive"
"2357",4,"kalau sudah eid mubarak enggak perlu pakai happy lagi di depan karena arti eid mubarak sudah selamat hari raya idul fitri kalau untuk tambah happy jadi selamat selamat hari raya idul fitri","Positive"
"2358",5,"selamat hari raya idul fitri semuanyaaa mohon maaf lahir bathin from sashi moru fam ","Positive"
"2359",5,"di tengah gema takbir yang kumandang di hari yang fitrah ini jenderal polisi drs listyo sigit prabowo kepala polisi negara republik indonesia ucap selamat hari raya idul fitri h minal aidin wal faidzin mohon maaf lahir dan batin ","Positive"
"2360",1,"moga allah swt senantiasa limpah taufik nya kepada kita semua minal aidin wal faidzin mohon maaf lahir dan batinselamat hari raya idul fitri hijriah","Positive"
"2361",3," hari raya idul fitri h gema indah suara takbir telah kumandang dan cahaya bulan baru telah tandak ramadhan yang mulia akhir akhir moga pada hari yang fitri ini dosa kita semua lebur dan kita jadi suci kembali ","Positive"
"2362",5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batin ","Positive"
"2363",0,"padahal aku mau ketemu orang banyak di hari idul fitri ini ","Neutral"
"2364",9,"minal aidzin wal faidzin selamat hari raya idul fitri semuaa ikan nya cantik banget ","Positive"
"2365",4,"selamat hari raya idul fitri h lebaran laksana sama tetap guna masker saat laksana sholat ied tetapprokessaatlebaranbersama laksana sama ","Positive"
"2366",0,"rt alhamdulillah idul fitri ini saya dapat laksana salat id di masjid istiqlal jakarta ","Neutral"
"2367",10,"selamat idul fitriminal aidzin wal faidzin mohon maaf lahir dan batin jangan lupa thr nya kakak kan ya kan ya wawan sudah jadi anak baik baik tuh bulan penuh masa enggak ada thr nya nyihihihihihihi ","Positive"
"2368",5," selamat hari raya idul fitri juga eliz mohon maaf lahir dan batin ya ","Positive"
"2369",3,"rt dengan segala rendah hati saya keluarga ucap selamat idul fitri hijriah mohon maaf lahir dan batin uja","Positive"
"2370",4,"rt selamat idul fitri semua maaf lahir batin luv luv ","Positive"
"2371",5,"rt selamat hari raya idul fitri minal aidin wal faidzin mohon maaf lahir batin moga kita semua jadi insan yang fitri ","Positive"
"2372",4,"btw ini kawan gua hindu tadi pas dia kirim pesan selamat hari raya idul fitri aga kaget sih tapi ya sudah gua jawab saja kan terus itu vn nya dia bilang muka gua islamable wkwkwk kakak ","Positive"
"2373",0,"kakanwil kemenkumham jateng a yuspahruddin napi lapas semarang terima remisi lebaran orang langsung bebas kumhampasti bhpsemarang ayuspahruddin kemenkumhamjateng remisi idulfitri h twitter","Neutral"
"2374",5,"selamat idul fitri h mohon maaf lahir dan batin ","Positive"
"2375",5,"kapolres tojo una una akbp riski fara sandhy si i kak sama i kak sama staf dan jajar ucap selamat hari raya idul fitri syawal hminal aidin wal faidzin mohon maaf lahir dan batin poldasulteng polrestouna polripresisi ","Positive"
"2376",4,"selamat idul fitri ","Positive"
"2377",12," siap kak siena selamat hari raya idul fitri kak moga kakak dan keluarga selalu berik sehat have a nice day vilina","Positive"
"2378",4,"selamat hari raya idul fitri h lebaran laksana sama tetap guna masker saat laksana sholat ied tetapprokessaatlebaranbersama laksana sama ","Positive"
"2379",5,"selamat hari raya idul fitri h tahun bagi semua yang raya mohon maaf lahir dan batin","Positive"
"2380",3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
"2381",7,"rt keluarga besar the jakmania ucap selamat hari raya idul fitri syawal hijriah kepada seluruh teman teman","Positive"
"2382",12,"energi baik ramadhan telah usai namun semangat tidak boleh berakhirhari menang telah tiba moga ridho allah swt selalu sama kitaselamat hari raya idul fitri htaqaballallahu minna wa minkummohon maaf lahir dan batinsalam ","Positive"
"2383",3,"selamat hari raya idul fitri buat moots dan yang raya minal aidzin wal faidzin mohon maaf lahir dan batin dan minta maaf ya kalo ada kata atau perilaku dan yang mungkin kurang kenan di kalian ","Positive"
"2384",5," hari raya idul fitri hijriah halo kamu fkg ub hari raya idul fitri makna kembali suci usai puasa untuk nah semua nafsu dan saling maaf selamat hari raya idul fitri hijriah selamat nikmat waktu yang berkah allah lama idul fitri ini ","Positive"
"2385",4,"selamat idul fitri selamat lebaran bagi saudara saudari yang raya sama af lahir batin ","Positive"
"2386",7," hari raya idul fitri salam profesi popmasepi jaya gema takbir pun kumandang walau mata tidak saling tatap tang tidak saling jabat dari lubuk hati yang paling dalam kami keluarga besar popmasepi ucap selamat hari raya idul fitri ","Positive"
"2387",-10,"jalan kaki ke kota bekas sampai kranji cegat pak polisimari sama hilang marah dan emosi ayo kita raya idul fitri selamat lebaran admin yang aku sayaaang lebaranserubersamaindihome silaturahmitanpabatas","Negative"
"2388",4,"maaf lahir batin ndit selamat hari raya idul fitri ","Positive"
"2389",4,"selamat hari raya idul fitri teman ","Positive"
"2390",4," pak thrnya sudah ya ditrakteer maaf kalo enggak banyak selamat hari raya idul fitri","Positive"
"2391",5,"selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
"2392",0,"rt open promoedisi mudik follbacknkri glorynkriizin pulang kampung tradisi lebaran idul fitriprom","Neutral"
"2393",4,"selamat hari raya idul fitri ","Positive"
"2394",5,"selamat hari raya idul fitri h taqabbalallahu minna wa minkum shiyamana wa shiyamakum minal aidin wal faizin mohon maaf lahir dan batin wiz one izone wizone eidmubarak ","Positive"
"2395",4,"selamat hari raya idul fitri h","Positive"
"2396",-4,"ini sih harus ucap idul fitri kepada orang tua ","Negative"
"2397",10,"selamat hari raya idul fitri mohon maaf kalau tanpa sengaja cinta wkwk","Positive"
"2398",0,"kami keluarga mengucapkanselamat hari raya idul fitri syawal h taqabbalallaahu minnaa wa minkummohon sama af lahir batin nanga bulik kab lamandau kalimantan tengah ","Neutral"
"2399",5,"rt selamat hari raya idul fitri h minal aidin wal faidzin mohon maaf lahir batin moga hari raya ini jadi langkah","Positive"
"2400",13,"rt setelah jalan ibadah di bulan ramadan kini waktu jemput hari menang selamat raya hari raya","Positive"
"2401",-4,"forkopimcam turun langsung antisipasi malam hari raya idul fitri h ","Negative"
"2402",5,"rt selamat hari raya idul fitri h minal aidin wal faidzin mohon maaf lahir dan batin semua","Positive"
"2403",4,"rt selamat hari raya idul fitri hmohon maaf lahir dan batin northsideboys idulfitri h ","Positive"
"2404",8,"rt selamat hari raya idul fitri huntuk teman yang raya baik ada salah maupun tidak saya mohon maaf yang besar b","Positive"
"2405",4," selamat hari raya idul fitri bob di rumah lagi ramai","Positive"
"2406",5,"kami segenap tim trabas ucap selamat hari raya idul fitri h minal aidzin wal faidzin mohon maaf lahir dan batin guna waktu luang untuk tetap main di trabas trabas idulfitri h idulfitri idulfitri ","Positive"
"2407",4," selamat hari raya idul fitri mitiiiimohon maaf lahir dan batin ","Positive"
"2408",5,"rt untuk lisan dan sikap yang tak jaga mohon buka pintu maaf yang besar besar mohon maaf lahir dan batin selam","Positive"
"2409",5,"selamat hari raya idul fitri untuk teman teman yang raya mohon maaf lahir dan batin ","Positive"
"2410",3,"pasti operasional kilang balikpapan manajemen laku mwt hari pertama idul fitri ","Positive"
"2411",4,"rt selamat hari raya idul fitri ","Positive"
"2412",0,"rt masyaalahpuluhan ribu orang antusias tuna sholat id idul fitri di jakarta international stadium jis pada senin me","Neutral"
"2413",4,"rt bantu jawab ya eid mubarak itu arti sudah selamat hari raya idul fitri atau happy","Positive"
"2414",4,"selamat hari raya idul fitri h dan selamat makan opor untuk hari ke depan cool kids ","Positive"
"2415",4,"rt selamat hari raya idul fitri love from victor alden dan kapten shearen viden ","Positive"
"2416",4,"selamat hari raya idul fitri h ","Positive"
"2417",0,"rt gubernur dki jakarta anies baswedan laksana salat idul fitri atau salat id di jakarta international stadium jis pada si","Neutral"
"2418",8,"kabar koramil banjarnegara karangkobar untuk berik rasa aman bagi masyarakat sambut malam idul fitri babinsa koramil karangkobar kodim bna yang di pimpin bati tuut pelda teguh rahayu sama babinkamtibmas polsek karangkobar dan ormas serta relawan sinergi ","Positive"
"2419",-4,"akhir vibes idul fitri yang tahun hilang telah kembali eidmubarak eidmubarak h","Negative"
"2420",13,"lebaran penuh berkah sholat idul fitri sudah bisa laku di masjid dan lapang tetapi tetap wajib hati protokol sehat covid dengan ketat serta indah tentu yang berlaku selalu laksana sama jangan lupa ya tetapprokessaatlebaranlaksanakan sama ","Positive"
"2421",4,"sholat idul fitri hbhabinkamtibmas desa segarjaya laksana aman salat idul fitri dan imbau terap protokol sehat bagi jamaah di masjid al addin kampung pangkal tarumajaya bekas senin ","Positive"
"2422",0," happy idul fitri kasovi ","Neutral"
"2423",5,"selamat hari raya idul fitri mohon maaf lahir dan batin ","Positive"
"2424",4," selamat idul fitri juga babang ","Positive"
"2425",5," kadivhumas polri ucap selamat hari raya idul fitri mohon maaf lahir batin syawal h tetapprokessaatlebaran","Positive"
"2426",0," happy idul fitri dear ","Neutral"
